Article Title,Publication Year,Document Type
CSI DUE TO SLOSHING MOTION ON LEO LSS,2012,Proceedings Paper
Bubble spreading during the boiling crisis: modelling and experimenting in microgravity,2006,Article; Proceedings Paper
Mathematical Modeling of Rivulet Flow Driven by Variable Gravity and Gas Flow in a Minichannel,2008,Proceedings Paper
Mastering Cryogenic Propellants,2013,Article
Capillary driven flows in microgravity,2024,preprint
Dynamic Behaviors of Liquid in Partially Filled Tank in Short-term Microgravity,2018,Article
Validation of a Compression Mass Gauge using ground tests for liquid propellant mass measurements,2014,Article
The ?Thermocapillary-based control of a free surface in microgravity?experiment,2023,Article
Applications of magnetic fields to control fluids in reduced gravity,2007,Dissertation/Thesis
Experimental studies on the parametrization of liquid spreading and dynamic contact angles,1996,Article; Proceedings Paper
Capillarity: Draining and Surface Vibrations,2021,Dissertation/Thesis
ISS: Inertial Spreading and Imbibition of a Liquid Drop Through a Porous Surface,2016,Awarded Grant
The Attitude Dynamics and Control of the Liquid-Filled Spacecraft with Complex Structures充液复杂结构航天器姿态动力学与控制,2006,Dissertation/Thesis
Bubble spreading during the boiling crisis: modelling and experimenting in microgravity,2016,preprint
Effect of sloshing on the mechanics of dewar systems in low-gravity,2001,Article
Mathematical Modeling of Transport of CO2 and Nano-Particle-Based Sealants in Cement Cracks in CO2-Storage Wells,2023,Dissertation/Thesis
Development of operations manual and restoration of cryogenic system for magnetic levitation,2016,Dissertation/Thesis
Plane front dynamics and pattern formation in diffusion controlled directional solidification of alloys,2004,Dissertation/Thesis
Water Electrolysis Propulsion: Systems Architecture and Technology Development,2019,Dissertation/Thesis
Flow rate limitation in curved open capillary groove channels,2019,Article
Thermocapillary-driven dynamics of a free surface in microgravity: Control of sloshing,2022,Article
Verification and Validation of Transient Body Force in GOTHIC for Spent Fuel Pool Response to Seismic Events and Other Applications,2022,Article
Hydrodynamics of Interfacially Driven Bioreactors,2023,Dissertation/Thesis
"Capillary Phenomena: Investigations in Compressed Bubble Migration, Geometric Wetting, and Blade-Bound Droplet Stability",2012,Dissertation/Thesis
Confinement and Non-Newtonian Effects for Steady Streaming Flow and the Ice Fishing Problem with Surface Tension,2022,Dissertation/Thesis
ISA accelerometer onboard the Mercury Planetary Orbiter: Error budget,2007,Article
