"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Author Keywords","Index Keywords","Document Type","Publication Stage","Open Access","Source","EID"
"Wu Z.; Huang Y.; Chen X.; Zhang X.; Yao W.","Wu, Zongyu (57212971300); Huang, Yiyong (7501579704); Chen, Xiaoqian (16201729100); Zhang, Xiang (56811299400); Yao, Wen (57192278536)","57212971300; 7501579704; 16201729100; 56811299400; 57192278536","Flow rate limitation in curved open capillary groove channels","2019","International Journal of Multiphase Flow","116","","","164","175","11","4","10.1016/j.ijmultiphaseflow.2019.03.016","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85064566890&doi=10.1016%2fj.ijmultiphaseflow.2019.03.016&partnerID=40&md5=f13b491066bde5b0173e660bd7da7cbb","Centrifugal force; Curved channels; Flow rate limitation; Forced capillary flows; Microgravity","Aspect ratio; Computational fluid dynamics; Contact angle; Flow rate; Microgravity; Microgravity processing; Average relative error; Centrifugal Forces; Curved channels; Microgravity conditions; Optimal performance; Pressure differences; Straight open channels; Theoretical modeling; Open channel flow","Article","Final","","Scopus","2-s2.0-85064566890"
"Gruzd S.A.; Krivilyov M.D.; Samsonov D.S.; Wu Y.; Sekulic D.P.; Mesarovic S.D.","Gruzd, Svetlana A. (57203656764); Krivilyov, Mikhail D. (6506861636); Samsonov, Dmitry S. (58822924200); Wu, Yangyang (57193922406); Sekulic, Dusan P. (7006342188); Mesarovic, Sinisa Dj. (11939382400)","57203656764; 6506861636; 58822924200; 57193922406; 7006342188; 11939382400","Non-isothermal Wetting of an Al Alloy Pin by Al-Si Melt under Terrestrial and Microgravity Conditions","2022","Microgravity Science and Technology","34","4","65","","","","0","10.1007/s12217-022-09973-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134494515&doi=10.1007%2fs12217-022-09973-0&partnerID=40&md5=905006f935a5f5c47c68e95eda73517d","Contact angle; Heat transfer; Melting; Multiphase flow","Aluminum alloys; Brazing; Contact angle; Microgravity; Microgravity processing; Multiphase flow; NASA; Silicon alloys; Wetting; Al-alloy; Capillary effects; Compositional effects; Free liquid surface; Melting; Microgravity conditions; Nonisothermal; Solid surface; Thermal; Wetting and spreading; Heat transfer","Article","Final","","Scopus","2-s2.0-85134494515"
"Wei G.; Zhang J.","Wei, Guomeng (57215082457); Zhang, Jianfei (7601353466)","57215082457; 7601353466","Numerical study of the filling process of a liquid hydrogen storage tank under different sloshing conditions","2020","Processes","8","9","1020","","","","17","10.3390/pr8091020","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090773712&doi=10.3390%2fpr8091020&partnerID=40&md5=e1ab5fdfdd8fda016f07ca02706fc214","Gas-liquid phase change; Liquid hydrogen storage tank; Microgravity; No-vent fill; Sloshing; Three-dimensional numerical model","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85090773712"
"Hoffman B.D.; Sansone M.D.; Brodnick J.M.","Hoffman, Bryan D. (59187736200); Sansone, Marco D. (59187939600); Brodnick, Jacob M. (55815877600)","59187736200; 59187939600; 55815877600","Surface Instability of Liquid Propellants in Microgravity During Pulsed Settling Operations","2024","AIAA SciTech Forum and Exposition, 2024","","","","","","","0","10.2514/6.2024-2227","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85196861884&doi=10.2514%2f6.2024-2227&partnerID=40&md5=5182b5e5af2f835c8a418f8af190f0d9","","Acceleration; Computation theory; Computational fluid dynamics; Liquid sloshing; Microgravity; Microgravity processing; Tanks (containers); Vibrations (mechanical); Break-up; Computational fluid dynamics simulations; Engineering modelling; Faraday instability; Faraday waves; Liquid-vapor interface; Propellant surfaces; Propulsion devices; Reaction control system; Surface instability; Surface waves","Conference paper","Final","","Scopus","2-s2.0-85196861884"
"Mousavi S.M.; Jarrahbashi D.; Lee B.J.; Karimi N.; Faroughi S.A.","Mousavi, S Mahmood (56432213800); Jarrahbashi, Dorrin (23005097400); Lee, Bok Jik (57192592694); Karimi, Nader (56407005000); Faroughi, Salah A (56431165800)","56432213800; 23005097400; 57192592694; 56407005000; 56431165800","Impact of hybrid surfaces on the droplet breakup dynamics in microgravity slug flow: A dynamic contact angle analysis","2023","Physics of Fluids","35","7","072003","","","","7","10.1063/5.0159118","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85164278512&doi=10.1063%2f5.0159118&partnerID=40&md5=da934128c94453c110ca87fe2e632ef6","","Contact angle; Fluidic devices; Hydrophobicity; Microfluidics; Microgravity processing; Morphology; Phase interfaces; Space research; Two phase flow; Wetting; Breakup dynamics; Droplet breakup; Droplet generation; Dynamic contact angle; Generation frequency; Hybrid surface; Microfluidics devices; Microgravity conditions; Precise control; Slug-flow; Microgravity","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85164278512"
"Todd J.; Gentgen C.; Porter A.; Bellisle R.; Martell B.; Hoffman J.","Todd, Jessica (57209642637); Gentgen, Chloe (57374235900); Porter, Allison (57219401726); Bellisle, Rachel (57196196401); Martell, Benjamin (57202919917); Hoffman, Jeffrey (7402611619)","57209642637; 57374235900; 57219401726; 57196196401; 57202919917; 7402611619","The Ceres Human Exploration and Transit Architecture (CHEATA): A Mission Architecture for Small Bodies Exploration","2022","Proceedings of the International Astronautical Congress, IAC","2022-September","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85167563394&partnerID=40&md5=c51f1daca077d780e654f71c8cbf44c3","Ceres; Crewed Mission; Deep Space; Human Spaceflight; Propulsion; Space Transportation","Attitude control; Automobile bodies; Cosmology; Cryogenic liquids; Environmental management; Gravitation; Hydrogen storage; Interplanetary flight; Liquid sloshing; Lunar missions; Manned space flight; Orbits; Propellants; Spacecraft propulsion; Superconducting magnets; Asteroid belt; Cere; Crewed mission; Deep space; Human exploration; Human spaceflights; Mission architectures; Small bodies; Space transportations; Technology development; Liquefied gases","Conference paper","Final","","Scopus","2-s2.0-85167563394"
"Alam F.E.; Dryer F.L.; Farouk T.I.","Alam, Fahd E. (56261865300); Dryer, Frederick L. (35592036800); Farouk, Tanvir I. (35503213000)","56261865300; 35592036800; 35503213000","Effectiveness of Xenon as a Fire Suppressant under Microgravity Combustion Environment","2016","Combustion Science and Technology","188","2","","145","165","20","7","10.1080/00102202.2015.1085033","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954310598&doi=10.1080%2f00102202.2015.1085033&partnerID=40&md5=e1fb0b5b17ea803cf6906c6ac60e96b9","Droplet combustion; Microgravity; Numerical modeling; Xenon","Application programs; Atmospheric composition; Carbon dioxide; Combustion; Drops; Fires; Helium; Liquid sloshing; Methanol; Microgravity; Microgravity processing; NASA; Nitrogen; Numerical models; Space stations; Droplet combustion; Enriched environments; Extinction characteristics; Identical conditions; International Space stations; Limiting Oxygen Index; Microgravity combustion; Wide range of fuels; Xenon","Article","Final","All Open Access; Green Open Access","Scopus","2-s2.0-84954310598"
"Delorme P.; Dupuy T.; Gagné J.; Reylé C.; Forveille T.; Liu M.C.; Artigau E.; Albert L.; Delfosse X.; Allard F.; Homeier D.; Malo L.; Morley C.; Naud M.E.; Bonnefoy M.","Delorme, P. (8416049900); Dupuy, T. (57206324502); Gagné, J. (52363572600); Reylé, C. (55943063100); Forveille, T. (7003444714); Liu, M.C. (55582154800); Artigau, E. (6505850637); Albert, L. (10140100100); Delfosse, X. (6701872272); Allard, F. (56264993700); Homeier, D. (22134847000); Malo, L. (26435325300); Morley, C. (43361566800); Naud, M.E. (55681559300); Bonnefoy, M. (55036442600)","8416049900; 57206324502; 52363572600; 55943063100; 7003444714; 55582154800; 6505850637; 10140100100; 6701872272; 56264993700; 22134847000; 26435325300; 43361566800; 55681559300; 55036442600","CFBDSIR 2149-0403: Young isolated planetary-mass object or high-metallicity low-mass brown dwarf? ?","2017","Astronomy and Astrophysics","602","","A82","","","","8","10.1051/0004-6361/201629633","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021101326&doi=10.1051%2f0004-6361%2f201629633&partnerID=40&md5=dfd377bd7b6b9f8630b3d4d1964cd56b","Brown dwarfs; Methods: observational; Planets and satellites: gaseous planets; Stars: atmospheres; Techniques: spectroscopic","Emission spectroscopy; Geometrical optics; Kinematics; Liquid sloshing; Metals; Planets; Satellites; Space telescopes; Stars; Brown dwarfs; Methods:observational; Planets and satellites; Stars: atmosphere; Techniques: spectroscopic; Astrophysics","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85021101326"
"Mousavi S.M.; Lee B.J.","Mousavi, S Mahmood (56432213800); Lee, Bok Jik (57192592694)","56432213800; 57192592694","Investigation of bubble structure in a microchannel under microgravity conditions: Effects of discontinuous wettability with dynamic contact angle","2022","Acta Astronautica","201","","","394","400","6","18","10.1016/j.actaastro.2022.09.048","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139335958&doi=10.1016%2fj.actaastro.2022.09.048&partnerID=40&md5=ccf8adc0ce59bcbae21db7fa4512bcb9","Bubble structure; Discontinuous wettability; Microchannel; Microgravity conditions","Contact angle; Finite volume method; Heat transfer; Hydrophobicity; Microchannels; Microgravity; Microgravity processing; Space stations; Two phase flow; Bubble structures; Discontinuous wettability; Dynamic contact angle; Governing equations; Liquid interface; Microchannel walls; Microgravity conditions; Two phases flow; Volume of fluids; Wall wettability; Wetting","Article","Final","","Scopus","2-s2.0-85139335958"
"Romero-Calvo Á.; García-Salcedo A.J.; Rivoalen I.; Garrone F.; Cano Gómez G.; Castro-Hernández E.; Herrada Gutiérrez M.Á.; Maggi F.","Romero-Calvo, Á. (57214793502); García-Salcedo, A.J. (57214806996); Rivoalen, I. (57214800116); Garrone, F. (57214801456); Cano Gómez, G. (57214794283); Castro-Hernández, E. (33067589800); Herrada Gutiérrez, M.Á. (6603410143); Maggi, F. (24071633500)","57214793502; 57214806996; 57214800116; 57214801456; 57214794283; 33067589800; 6603410143; 24071633500","Lateral sloshing of magnetic liquids in microgravity","2019","Proceedings of the International Astronautical Congress, IAC","2019-October","","IAC-19_A2_2_7_x52131","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85079116937&partnerID=40&md5=0a84612089f89fdd4d926a1a564cba29","","Attitude control; Magnetic fluids; Magnetism; Microgravity; Microgravity processing; Applied magnetic fields; Cylindrical tanks; Free surfaces; Low gravity environment; Magnetic liquids; Measurements of; Sloshing control; Spacecraft design; Liquid sloshing","Conference paper","Final","","Scopus","2-s2.0-85079116937"
"Dalmon A.; Lepilliez M.; Tanguy S.; Alis R.; Popescu E.R.; Roumiguié R.; Miquel T.; Busset B.; Bavestrello H.; Mignot J.","Dalmon, Alexis (57202605518); Lepilliez, Mathieu (56303914400); Tanguy, Sébastien (15752159800); Alis, Romain (57188982423); Popescu, Elena R. (57190003772); Roumiguié, Rémi (57205495010); Miquel, Thomas (57205491255); Busset, Barbara (55848399800); Bavestrello, Henri (12142642600); Mignot, Jean (7101666057)","57202605518; 56303914400; 15752159800; 57188982423; 57190003772; 57205495010; 57205491255; 55848399800; 12142642600; 7101666057","Comparison Between the FLUIDICS Experiment and Direct Numerical Simulations of Fluid Sloshing in Spherical Tanks Under Microgravity Conditions","2019","Microgravity Science and Technology","31","1","","123","138","15","25","10.1007/s12217-019-9675-4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060193474&doi=10.1007%2fs12217-019-9675-4&partnerID=40&md5=237ea17bdd7385922b83904ba3d335bc","Direct Numerical Simulation; Fluid sloshing; Microgravity experiment","Angular velocity; Direct numerical simulation; Fluidics; Liquid propellants; Liquids; Microgravity; Microgravity processing; Numerical models; Spheres; Tanks (containers); Torque; Two phase flow; Accurate prediction; Angular acceleration; Constant angular velocity; Fluid sloshing; Microgravity conditions; Microgravity experiments; Oscillation frequency; Temporal evolution; Numerical methods","Article","Final","","Scopus","2-s2.0-85060193474"
"Mousavi S.M.; Lee J.; Lee B.J.; Jarrahbashi D.; Karimi N.; Faroughi S.A.","Mousavi, S. Mahmood (56432213800); Lee, Jongkwon (58537377000); Lee, Bok Jik (57192592694); Jarrahbashi, Dorrin (23005097400); Karimi, Nader (56407005000); Faroughi, Salah A. (56431165800)","56432213800; 58537377000; 57192592694; 23005097400; 56407005000; 56431165800","Bubble generation mechanisms in microchannel under microgravity and heterogeneous wettability","2024","Physics of Fluids","36","2","023351","","","","0","10.1063/5.0188262","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185887253&doi=10.1063%2f5.0188262&partnerID=40&md5=8fef1dd15c1dd013297c43b8c1532eb7","","Contact angle; Cooling systems; Electronic cooling; Flow control; Microchannels; Microgravity; Microgravity processing; Multiphase flow; Bubble generation; Bubble movement; Condition; Dynamic contact angle; Flow parameters; Generation mechanism; Generation rate; Hybrid surface; Slug-flow; Surface tension force; Wetting","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85185887253"
"Chauvin G.; Gratton R.; Bonnefoy M.; Lagrange A.-M.; De Boer J.; Vigan A.; Beust H.; Lazzoni C.; Boccaletti A.; Galicher R.; Desidera S.; Delorme P.; Keppler M.; Lannier J.; Maire A.-L.; Mesa D.; Meunier N.; Kral Q.; Henning T.; Menard F.; Moor A.; Avenhaus H.; Bazzon A.; Janson M.; Beuzit J.-L.; Bhowmik T.; Bonavita M.; Borgniet S.; Brandner W.; Cheetham A.; Cudel M.; Feldt M.; Fontanive C.; Ginski C.; Hagelberg J.; Janin-Potiron P.; Lagadec E.; Langlois M.; Le Coroller H.; Messina S.; Meyer M.; Mouillet D.; Peretti S.; Perrot C.; Rodet L.; Samland M.; Sissa E.; Olofsson J.; Salter G.; Schmidt T.; Zurlo A.; Milli J.; Van Boekel R.; Quanz S.; Feautrier P.; Le Mignant D.; Perret D.; Ramos J.; Rochat S.","Chauvin, G. (7006133263); Gratton, R. (7005486214); Bonnefoy, M. (55036442600); Lagrange, A.-M. (7007155308); De Boer, J. (53881216100); Vigan, A. (25625344800); Beust, H. (6602487876); Lazzoni, C. (57192920850); Boccaletti, A. (6701567335); Galicher, R. (8362283200); Desidera, S. (55879783300); Delorme, P. (8416049900); Keppler, M. (57191988489); Lannier, J. (55992733200); Maire, A.-L. (55019681200); Mesa, D. (24173523600); Meunier, N. (56243813000); Kral, Q. (55372831900); Henning, T. (35430328000); Menard, F. (57203235188); Moor, A. (8725793500); Avenhaus, H. (55320958400); Bazzon, A. (36615105800); Janson, M. (14032907800); Beuzit, J.-L. (35800828300); Bhowmik, T. (57202361751); Bonavita, M. (16506123700); Borgniet, S. (55910210600); Brandner, W. (7006383284); Cheetham, A. (55543219400); Cudel, M. (57170814000); Feldt, M. (7004594330); Fontanive, C. (57192677269); Ginski, C. (26655538900); Hagelberg, J. (54789785400); Janin-Potiron, P. (56515462900); Lagadec, E. (23094862600); Langlois, M. (56102896400); Le Coroller, H. (6506411220); Messina, S. (7006270330); Meyer, M. (7403193628); Mouillet, D. (56229059700); Peretti, S. (57103088700); Perrot, C. (57103057600); Rodet, L. (56717598000); Samland, M. (55992755600); Sissa, E. (56605030500); Olofsson, J. (24588049700); Salter, G. (25823434700); Schmidt, T. (16643921300); Zurlo, A. (55392045500); Milli, J. (55240213000); Van Boekel, R. (55918444200); Quanz, S. (14623141200); Feautrier, P. (7003440423); Le Mignant, D. (6603623670); Perret, D. (36605046100); Ramos, J. (8952021400); Rochat, S. (37079428100)","7006133263; 7005486214; 55036442600; 7007155308; 53881216100; 25625344800; 6602487876; 57192920850; 6701567335; 8362283200; 55879783300; 8416049900; 57191988489; 55992733200; 55019681200; 24173523600; 56243813000; 55372831900; 35430328000; 57203235188; 8725793500; 55320958400; 36615105800; 14032907800; 35800828300; 57202361751; 16506123700; 55910210600; 7006383284; 55543219400; 57170814000; 7004594330; 57192677269; 26655538900; 54789785400; 56515462900; 23094862600; 56102896400; 6506411220; 7006270330; 7403193628; 56229059700; 57103088700; 57103057600; 56717598000; 55992755600; 56605030500; 24588049700; 25823434700; 16643921300; 55392045500; 55240213000; 55918444200; 14623141200; 7003440423; 6603623670; 36605046100; 8952021400; 37079428100","Investigating the young solar system analog HD 95086: A combined HARPS and SPHERE exploration","2018","Astronomy and Astrophysics","617","","A76","","","","36","10.1051/0004-6361/201732077","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053557055&doi=10.1051%2f0004-6361%2f201732077&partnerID=40&md5=cf7836e0277ffce036c58c66f026f00d","Instrumentation: adaptive optics; Instrumentation: high angular resolution; Methods: observational; Planet-disk interactions; Stars: individual: HD 95086","Adaptive optics; Binary alloys; Cobalt alloys; Infrared devices; Liquid sloshing; Planets; Sodium alloys; Space debris; Instrumentation: adaptive optics; Instrumentation:high angular resolution; Methods:observational; Planet-disk interactions; Stars: individual; Orbits","Article","Final","All Open Access; Bronze Open Access","Scopus","2-s2.0-85053557055"
"Kalita H.; Schwartz S.; Asphaug E.; Thangavelautham J.","Kalita, Himangshu (57193774779); Schwartz, Stephen (55449295000); Asphaug, Erik (6603765759); Thangavelautham, Jekan (57203231620)","57193774779; 55449295000; 6603765759; 57203231620","Mobility and science operations on an asteroid using a hopping small spacecraft on stilts","2018","Advances in the Astronautical Sciences","164","","","177","189","12","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85055494129&partnerID=40&md5=4cc556df3388eb3c18691b67240db4c3","","Earth (planet); Ion engines; Landing; Liquid sloshing; Location; Pendulums; Planetary surface analysis; Spacecraft; Communication relays; Conventional spacecraft; Early solar systems; Inverted pendulum; Near-earth spaces; Planetary defense; Science operations; Strategic locations; Asteroids","Conference paper","Final","","Scopus","2-s2.0-85055494129"
"Yuan R.; Gao H.; Liu Z.; Lu R.; Deng Z.","Yuan, Runze (58059208300); Gao, Haibo (57204309644); Liu, Zhen (36063402400); Lu, Renchao (58059074100); Deng, Zongquan (55536964400)","58059208300; 57204309644; 36063402400; 58059074100; 55536964400","An approach to simulating Lunar crewed vehicle motions on Earth using a scaled prototype with active compensation","2023","Mechanism and Machine Theory","182","","105221","","","","5","10.1016/j.mechmachtheory.2022.105221","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85146053456&doi=10.1016%2fj.mechmachtheory.2022.105221&partnerID=40&md5=02f774c143f1830bca2d7562ff8677e4","Active suspension; Buckingham's π; Dynamic similarity; Low-gravity simulation; Lunar rover; Vehicle dynamics","Automobile suspensions; Liquid sloshing; Manned space flight; Moon; Rovers; Sensory analysis; Active suspension; Buckingham π; Crewed vehicles; Dynamic similarities; Gravity simulation; Low gravity; Low-gravity simulation; Lunar rovers; Lunar surface; Vehicle's dynamics; Gravitation","Article","Final","","Scopus","2-s2.0-85146053456"
