Title,Year,Document Type
Capillary Phenomena in Tubes Under Microgravity,2023,Journal Article
"PMMA rod stagnation region flame blowoff limits at various radii, oxygen concentrations, and mixed stretch rates",2019,Journal Article
Attitude tracking control of flexible spacecraft with large amplitude slosh,2017,Journal Article
The New Concept of a Sampling Device Driven by Rotary Hammering Actions,2016,Journal Article
An analysis of low-thrust orbital maneuvers around small bodies,2017,Conference Proceeding
Endoscopically implantable devices into submucosa as the solution for low-gravity induced gastrointestinal problems,2017,Conference Proceeding
Underground structures in Mars excavated by tunneling methods for sheltering humans,2017,Journal Article
Static profiles of capillary surfaces in the annular space between two coaxial cones under microgravity,2024,Journal Article
The exploration of PHOBOS: Design of a Sample Return mission,2018,Journal Article
Parameterizing the Energy Cost of Establishing Mining Outposts on Asteroids,2023,Conference Proceeding
Static analysis and contact angle hysteresis study of bubbles in Chinese space station tank models under different gravity effects,2024,Journal Article
Effects of Microorganisms on Drop Formation in Microgravity During a Parabolic Flight with Residual Gravity and Jitter,2022,Journal Article
The Rutgers SPICEsat Mission: An Educational Case Study,2024,Conference Proceeding
Dynamics of bubble growth during boiling at microgravity,2021,Conference Proceeding
Scalability analysis of legged robots for space exploration,2017,Conference Proceeding
General Tumbling-Averaged Rotational Dynamics for Defunct Satellites,2022,Journal Article
Prediction of pool boiling heat transfer for hydrogen in microgravity,2016,Journal Article
Computational modeling and experimental investigation of gas bubble (drop) behavior using surface tension and cohesive angle change under decreased gravity,2017,Conference Proceeding
Electrostatic Sampler for Large Regolith Particles on Asteroids,2017,Journal Article
Advanced numerical simulation of magnetic liquid sloshing in microgravity,2020,Conference Proceeding
Numerical simulation of pitching sloshing under microgravity,2019,Journal Article
A new experiment for investigating evaporation and condensation of cryogenic propellants,2016,Journal Article
Space Lander Descent Control System Design Considering Fuel Sloshing Under Microgravity,2022,Conference Proceeding
Openfoam simulations of late stage container draining in microgravity,2020,Journal Article
Sloshing reduction in microgravity: Thermocapillary-based control and passive baffles,2023,Journal Article
Fully coupled interface-tracking model for axisymmetric ferrohydrodynamic flows,2022,Journal Article
Liquid mass gauging during propellant transfer in microgravity,2024,Journal Article
Propellant slosh force and mass measurement,2018,Journal Article
Progress towards a microgravity cfd validation study using the iss spheres-slosh experiment,2020,Conference Proceeding
Numerical Modeling of Liquid Propellant Mass Transfer with Sloshing during On-Orbit Refueling,2024,Conference Proceeding
CHARACTERIZATION OF A CAPILLARY-DRIVEN FLOW IN MICROGRAVITY BY MEANS OF OPTICAL TECHNIQUE,2023,Journal Article
Magnetic Positive Positioning: Toward the application in space propulsion,2021,Journal Article
Bubble growth analysis during subcooled boiling experiments on-board the international space station: Benchmark image analysis,2022,Journal Article
Experimental investigation of drop evaporation in microgravity onboard Chinese Satellite SJ10,2019,Conference Proceeding
The Benefits of Gravity Fields Variation on Fluids and Materials: The Review,2023,Conference Proceeding
Adaptation to microgravity in cells of the immune system,2017,Conference Proceeding
Measurement of contact angle under different gravity generated by a long-arm centrifuge,2020,Journal Article
Numerical simulation of fluid flow in the vane type tank on orbital refuelling process,2018,Conference Proceeding
"The microgravity DSC-DCMIX1 mission onboard ISS: Experiment description and results on the measurement of the Soret coefficients for isobutylbenzene, dodecane, tetralin ternary hydrocarbons mixtures",2016,Journal Article
Dynamic Behavior in a Storage Tank in Reduced Gravity Using Dynamic Contact Angle Method,2020,Journal Article
Modelling the Flow Behaviour of Granular Media through the Dosing Station of a Spacecraft under Low Gravitational Environments,2016,Conference Proceeding
Simulation of Bulk Evaporation and Condensation using the Energy of Fluid Method,2022,Conference Proceeding
Effect of low gravity on water removal inside proton exchange membrane fuel cells (PEMFCs) with different flow channel configurations,2016,Journal Article
Rotary-percussive ultrasonic drill: An effective subsurface penetrating tool for minor planet exploration,2018,Journal Article
"Design, development and testing of a suborbital nanolab research experiment in microgravity",2017,Conference Proceeding
StELIUM: A student experiment to investigate the sloshing of magnetic liquids in microgravity,2020,Journal Article
Free and Forced Oscillations of Magnetic Liquids under Low-Gravity Conditions,2020,Journal Article
MICROGRAVITY SLOSHING OF MARS HABITAT USING IN-SITU METHOD,2022,Conference Proceeding
Simulation of the Microgravity Effect on Wettability of Solids with Different Liquids,2017,Journal Article
The combustion of iso-octane droplets with initial diameters from 0.5 to 5 mm: Effects on burning rate and flame extinction,2017,Journal Article
Capillary-driven flows along curved interior corners,2018,Journal Article
Development and testing of a pyro-driven launcher for harpoon-based comet sample acquisition,2017,Conference Proceeding
Dynamic Behaviors of Liquid in Partially Filled Tank in Short-term Microgravity,2018,Journal Article
Dynamics of fluid-filled space multibody systems considering the microgravity effects: Submitted to Mechanism and Machine Theory,2020,Journal Article
Generation and characteristics of internal fire whirl in a shaft model with two corner slits under microgravity conditions,2017,Journal Article
Study on the instability of FC-72 vapor–liquid interface in a rectangular channel under different gravity conditions,2024,Journal Article
Investigation of behavior of the dynamic contact angle on the basis of the Oberbeck-Boussinesq approximation of the Navier-Stokes equations,2016,Conference Proceeding
Research on Melt Wettability Measurements Under Microgravity,2021,Journal Article
The “Thermocapillary-based control of a free surface in microgravity” experiment,2023,Journal Article
Sloshing mitigation in microgravity with moving baffles,2024,Journal Article
Axisymmetric Ferrofluid Oscillations in a Cylindrical Tank in Microgravity,2021,Journal Article
Development and testing of a pyro-driven launcher for harpoon-based comet sample acquisition,2018,Journal Article
Releasing the Bubbles: Nanotopographical Electrocatalyst Design for Efficient Photoelectrochemical Hydrogen Production in Microgravity Environment,2022,Journal Article
Network of nano-landers for in-situ characterization of asteroid impact studies,2017,Conference Proceeding
Thermocapillary-driven dynamics of a free surface in microgravity: Control of sloshing,2022,Journal Article
Thermal behavior analysis of wire mini heat pipe,2011,Journal Article
Simulation of jet-induced geysers in reduced gravity,2010,Journal Article
"URCOOL, an experimental platform for sloshing investigation in microgravity",2005,Conference Proceeding
ISA accelerometer onboard the Mercury Planetary Orbiter: Error budget,2007,Journal Article
Investigation on free sloshing of liquid in two-dimensional rectangular tanks in microgravity,2013,Conference Proceeding
Loping: A strategy for reduced gravity human locomotion?,2007,Conference Proceeding
Mastering cryogenic propellants,2013,Journal Article
Design and manufacture of a lightweight fuel tank assembly,2003,Conference Proceeding
Performances of a small hypersonic airplane (HyPlane),2015,Journal Article
"Martian base agriculture: The effect of low gravity on water flow, nutrient cycles, and microbial biomass dynamics",2010,Journal Article
Bubble spreading during the boiling crisis: Modelling and experimenting in microgravity,2006,Conference Proceeding
"Indian space university -An initiative to nurture ""brahmanauts"" for future human space flight",2015,Conference Proceeding
Mechanical models of low-gravity sloshing taking into account viscous damping,2014,Journal Article
Effect of rotation on sloshing in low-gravity,2004,Conference Proceeding
A cryogenic Rankine cycle for space power generation,2009,Conference Proceeding
Measurement of smoke particle size under low-gravity conditions,2008,Conference Proceeding
Simulation of microgravity by magnetic levitation and random positioning: Effect on human A431 Cell morphology,2011,Journal Article
CFD simulation and engineering mitigation of liquid sloshing in topside process vessel on floating production platform,2008,Conference Proceeding
Hydrodynamics of packed bed reactor in low gravity,2005,Conference Proceeding
The value of Phobos sample return,2014,Journal Article
Development of the two phase flow separator experiment for a reduced gravity aircraft flight,2016,Conference Proceeding
Enhancing the human-machine interface using visr-An interactive 3d visualization/ desens1tization training tool in a variable gravity model,2015,Conference Proceeding
Dynamic modeling and tracking control of fuel filled space robotic system with flexible manipulators,2010,Conference Proceeding
EUCLID mission: Theoretical sloshing model and CFD comparison,2012,Conference Proceeding
CSI due to sloshing motion on LEO LSS,2012,Conference Proceeding
Identifying the roles of reduced gravity and pressure on the piloted ignition of solid combustibles,2015,Journal Article
Update on SPHERES slosh for acquisition of liquid slosh data aboard the ISS,2013,Conference Proceeding
ESA multibody simulator for spacecrafts’ ascent and landing in a microgravity environment,2015,Journal Article
"Glenn Research Center's space-based research in combustion, fluid physics and acceleration measurement on the ISS",2014,Conference Proceeding
Dancing on the moon: Athletic and aesthetic performance as a low-gravity-enabled social and business phenomenon,2008,Conference Proceeding
Development of the space maintenance robotic gripper research,2015,Journal Article
Smoke particle sizes in low-gravity and implications for spacecraft smoke detector design,2009,Conference Proceeding
Fuel slosh dynamics in spinning spacecraft,2006,Conference Proceeding
A dynamical characterization of internally-Actuated microgravity mobility systems,2014,Conference Proceeding
Drop spreading and evaporation on a heated substrate under variable gravity conditions,2014,Conference Proceeding
Validation of a Compression Mass Gauge using ground tests for liquid propellant mass measurements,2014,Journal Article
Moving two-fluid systems using the volume-of-fluid method and single-temperature approximation,2011,Journal Article
Benchmark experiments and numerical modelling of the columnar-equiaxed dendritic growth in the transparent alloy Neopentylglycol-(d)Camphor,2015,Conference Proceeding
Capillary pressure of a liquid in a layer of close-packed uniform spheres,2006,Journal Article
Modeling of coupled membrane-liquids-dynamics for space applications,2012,Conference Proceeding
Rotating fuel tank design to attenuate fluid sloshing in microgravity,2010,Conference Proceeding
Relative optical navigation around small bodies via extreme learning machines,2016,Conference Proceeding
Reel.SMRT: A feasibility analysis of a novel balloon-borne platform for low-gravity experimentation,2010,Conference Proceeding
Semi-analytical guidance algorithm for autonomous close approach to non-cooperative low-gravity targets,2014,Conference Proceeding
Performances of a small hypersonic airplane (HYPLANE),2014,Conference Proceeding
Using solar radiation pressure to maneuver a spacecraft in the triple asteroid 2001SN263,2016,Conference Proceeding
Dynamical microstructure formation in 3D directional solidification of transparent model alloys: In situ characterization in DECLIC Directional Solidification Insert under diffusion transport in microgravity,2015,Conference Proceeding
Effect of varying the initial diameter of n-octane and n-decane droplets over a wide range on the spherically symmetric combustion process: International space station and ground-based experiments,2013,Conference Proceeding
Capillary-wave scattering from an infinitesimal barrier and dissipation at dynamic contact lines,2013,Journal Article
Tensegrity heat shield for atmospheric entry through celestial bodies,2016,Conference Proceeding
Update on SPHERES slosh for acquisition of liquid slosh data aboard the ISS,2013,Conference Proceeding
Prediction of spacecraft fuel dynamics in microgravity,2009,Conference Proceeding
Physical fractal aggregates and computer simulations,2014,Conference Proceeding
Study of bipedal robot walking motion in low gravity: Investigation and analysis,2014,Journal Article
Study of Capillary Driven Flow in an Interior Corner of Rounded Wall Under Microgravity,2015,Journal Article
Three-dimensional modal analysis of sloshing under surface tension,2011,Journal Article
On the dynamic contact angle in spontaneous capillary flow,2015,Conference Proceeding
Dropwise condensation on surfaces with graded hydrophobicity,2009,Conference Proceeding
Intelligent control systems design for flexible aerospace vehicles: Theoretical and software tools,2009,Conference Proceeding
Low-gravity slosh analysis for cylindrical tanks with hemiellipsoidal top and bottom,2008,Journal Article
Shape of a liquid surface and capillary phenomena under reduced or zero gravity,2004,Journal Article
Modeling of free-surface fuel slosh in microgravity for off-axis spacecraft propellant tanks,2009,Conference Proceeding
The barcelona zerog challenge. Three editions of an innovative microgravity hub of inspiration,2014,Conference Proceeding
Capillary pressure studies under low gravity conditions,2010,Journal Article
Initial transient behavior in directional solidification of a bulk transparent model alloy in a cylinder,2015,Journal Article
Prediction of erosive wear by exhaust-blown lunar dust through experimentally-validated computational modeling,2014,Conference Proceeding
Design and analysis of an X-ray mirror assembly using the meta-shell approach,2016,Conference Proceeding
Preliminary results from a soret effect experiment onboard REXUS 16: Chemical Wave In Soret Effect (CWIS),2014,Conference Proceeding
Liquid acquisition device testing with sub-cooled liquid oxygen,2008,Conference Proceeding
Characterization of the known T-type dwarfs towards the σ Orionis cluster,2015,Journal Article
Utilization of the bremen drop tower for preparing space missions,2015,Conference Proceeding
Evaluation of low-gravity smoke particulate for spacecraft fire detection,2013,Conference Proceeding
A study of fluid interface configurations in exploration vehicle propellant tanks,2010,Conference Proceeding
Microgravity experiment programs for students at the Bremen drop tower,2014,Conference Proceeding
Results of microgravity fluid dynamics captured with the spheres-slosh experiment,2015,Conference Proceeding
3-D adaptive Eulerian-Lagrangian method for gravity- and capillarity-induced flows,2009,Conference Proceeding
Heat pipes with self-rewetting fluids for space applications,2008,Conference Proceeding
Design and development of an active landing gear system for low-gravity environments,2015,Conference Proceeding
Steps towards the development of a payload dedicated to the study of the evaporation of a sessile droplet,2012,Conference Proceeding
Experimental research of pressure-volume-temperature mass gauging method using instantaneous analysis under cryogenic homogeneous condition,2012,Journal Article
Liquid-Gas Interfacial Configurations in Angular Pores Under Microgravity,2004,Conference Proceeding
"Soret and diffusion coefficients measurement of ternary mixtures of dodecane, isobutylbenzene and 1,2,3,4-tetrahydronaphthalene on-board international space station",2014,Conference Proceeding
On the dynamic contact angle in spontaneous capillary flow,2015,Conference Proceeding
Pocketpad™: Concept for an expendable safe lander touchdown accessory,2016,Conference Proceeding
Self-rewetting heat transfer fluids and nano-brines for space heat pipes,2009,Conference Proceeding
Dynamics of interface pattern formation in 3D alloy solidification: First results from experiments in the DECLIC directional solidification insert on the International Space Station,2011,Conference Proceeding
Liquid oxygen liquid acquisition device bubble point tests with high pressure lox at elevated temperatures,2012,Journal Article
Spacecraft thruster efficiency optimization with respect to coupled solid-liquid dynamics,2010,Conference Proceeding
Mathematical modeling of rivulet flow driven by variable gravity and gas flow in a minichannel,2008,Conference Proceeding
Designing a microgravity fluidics experiment for use on-board the international space station,2015,Conference Proceeding
Modeling of fuel slosh in a spin stabilized spacecraft with on-axis propellant tanks implemented with diaphragms,2009,Conference Proceeding
The static bubble point pressure model for cryogenic screen channel liquid acquisition devices,2016,Journal Article
Design of a liquid sloshing experiment to operate in the international space station,2015,Conference Proceeding
On the extinction characteristics of alcohol droplet combustion under microgravity conditions - A numerical study,2011,Conference Proceeding
Investigations on the columnar-equiaxed transition in AlSi7 alloys onboard MAXUS-7 in low-gravity environment,2007,Conference Proceeding
The effect of support fibers on micro-convection in droplet combustion experiments,2015,Journal Article
Adaptable intelligent spacecraft modules for various vehicle and habitat architectures,2014,Conference Proceeding
Design of an experimental platform for acquisition of liquid slosh data aboard the International space station,2012,Conference Proceeding
Self-rewetting heat transfer fluids and nanobrines for space heat pipes,2010,Journal Article
Radiofrequency sensors in problems of measuring liquid supplies in tanks of space vehicles,2013,Journal Article
In-orbit demonstration of two-phase heat transport technology: TPX/G557 development & pre-launch testing,1993,Conference Proceeding
Flight equipment supporting metabolic experiments on SLS-1,1991,Conference Proceeding
Effect of pigmentation in particulate formation from fluoropolymer thermodegration in microgravity,1998,Conference Proceeding
Capillary surfaces in an exotic container: Results from Space experiments,1999,Journal Article
Results from the middeck 0-gravity dynamics experiment,1993,Conference Proceeding
Space experiments pertainng to active pressure control,1991,Conference Proceeding
Dynamics of liquid sloshing in upright and inverted bladdered tanks.,1985,Journal Article
Heterogeneous nucleation in liquids showing a miscibility gap,1989,Conference Proceeding
"Parabolic flight experiments on wetting, stability and coagulation",1989,Conference Proceeding
Effect of gravity on a free-free elastic tank partially filled with incompressible liquid,2003,Journal Article
Nonlinear drop and bubble dynamics on earth and in microgravity,1996,Conference Proceeding
The effect of microgravity direction on the growth of PbSnTe,1997,Conference Proceeding
Design and manufacture of a propellant tank assembly,1997,Conference Proceeding
Analytical and experimental modeling of zero/low gravity fluid behavior,1987,Conference Proceeding
Experimental studies on the parametrization of liquid spreading and dynamic contact angles,1996,Conference Proceeding
Space station: Key step in developing life support systems for space exploration,1994,Conference Proceeding
Effect of a baffle on slosh waves excited by gravity-gradient acceleration in microgravity,1994,Journal Article
Computational design approach to propellant settling,2003,Journal Article
Liquid propellant behaviour under very low gravity,2001,Conference Proceeding
Effect of sloshing on the mechanics of dewar systems in low-gravity,2001,Journal Article
Microgravity sensitivities for Space Station ECLS subsystems,1989,Conference Proceeding
Modelling the restraint of liquid jets by surface tension in microgravity,2001,Conference Proceeding
A zero-gravity thermodynamic vent system for a liquid hydrogen tank,1987,Conference Proceeding
Vented tank resupply experiment - Flight test results,1997,Conference Proceeding
Low gravity guidance system for airborne microgravtty research,1996,Conference Proceeding
Computational modeling of jet induced mixing of cryogenic propellants of cryogenic propellants in low-g,1984,Conference Proceeding
Thermal control design aspects of columbus pressurised modules,1991,Conference Proceeding
Nonlinear forced-response characteristics of contained fluids in microgravity,1995,Journal Article
Two-phase flow in packed columns and generation of bubbly suspensions for chemical processing in space,2000,Conference Proceeding
Sloshing in microgravity,1999,Journal Article
Static meniscus configurations in axisymmetric containers under low-gravity conditions,1992,Journal Article
LifeSat: The general biology module,1990,Conference Proceeding
Effects of partial gravity and G-jitter on radiation from jet diffusion flames,1997,Conference Proceeding
Nonlinear forced response characteristics of contained fluids in microgravity,1992,Conference Proceeding
Liquid surface in regular N-pods,1998,Journal Article
Response of gravity level fluctuations on the gravity probe-B spacecraft propellant system,1991,Journal Article
Modification of the wettability of plexiglas and carbon by means of ion beam implantation: application to fluid management and materials processing i n microgravity,1996,Conference Proceeding
Reduced gravity boiling and condensing experiments simulated with the cobra/trac computer code,1988,Conference Proceeding
KINETICS OF SPREADING OF LIQUIDS IN MICROGRAVITY - EXPERIMENT 1 ES 327.,1984,Conference Proceeding
Low-gravity transport phenomena in space-based systems,1998,Conference Proceeding
Reduced gravity experiment capabilities of NASA Lewis' DC-9 aircraft,1996,Conference Proceeding
Non-classical thermocapillary bubble migration,1999,Conference Proceeding
Axisymmetric liquid sloshing under low-gravity conditions,1984,Journal Article
Facility vibration limits in micro-gravity and low-gravity environments: An allocation methodology,1997,Conference Proceeding
RESPONSE OF SMALL AMPLITUDE SLOSH TO TIME-DEPENDENT EFFECTIVE GRAVITY.,1984,Conference Proceeding
Actuation of sloshing modulated force and moment on liquid container driven by jitter accelerations associated with siew motion in microgravity,1995,Journal Article
Analysis of cryogenic propellant behaviour in microgravity and low thrust environments,1992,Journal Article
Simulation of sloshing dynamics induced forces and torques actuated on Dewar container driven by gravity gradient and jitter accelerations in microgravity,1994,Journal Article
Spin-up of partially filled fluids with bubble in microgravity,1995,Conference Proceeding
"Physics, chemistry and pulmonary sequelae of thermodegradation events in long-mission space flight",1993,Conference Proceeding
"CO2/O2 recycling through micro algae culture for life support system in a reduced gravity environment, such as in space",1999,Conference Proceeding
A review of earth-based and proposed space-based techniques to measure the thermophysicai properties of molten metals,1995,Conference Proceeding
Experiment for investigation of the dynamic behaviour of fluid in a surface tension tank under microgravity condition,1982,Journal Article
IN-orbit demonstration of two-phase heat transport technology: Tpxg557 flight results,1994,Conference Proceeding
Low-gravity flight director for free-floating experiments: DC-9 testing,1998,Conference Proceeding
Analysis of heat flow and microstructural development in composite spheres processed in a low-gravity environment,1997,Conference Proceeding
On-orbit propellant motion resulting from an impulsive acceleration,1994,Journal Article
Numerical modeling of on-orbit propellant motion resulting from an impulsive acceleration,1987,Conference Proceeding
Measurement of critical contact angle in a microgravity space experiment,2000,Journal Article
Numerical solution of melting processes for unfixed phase change material in the presence of electromagnetic field - Simulation of low gravity environment,2002,Conference Proceeding
Ultrasonic measurement of the geometric parameters of gaseous voids in low gravity fluid containers,1990,Conference Proceeding
The relevance of microgravity to the interaction of a solidifying planar interface with an insoluble particle,1997,Conference Proceeding
Estimated uncertainties in measurements of molten metal surface tension and viscosity,1996,Conference Proceeding
Fire safety in the low-gravity spacecraft environment,1999,Conference Proceeding
A model for contact—line energy dissipation for sloshing motions in partially filled containers,1999,Conference Proceeding
Convection phenomena in low-gravity processing: The GTE GaAs space experiment,1990,Conference Proceeding
Influence of two-phase thermocapillary flow on liquid surface morphology,1995,Conference Proceeding
Gravity dependence of pressure drop and heat transfer in straight two-phase heat transport system condenser ducts,1992,Conference Proceeding
Fluid transport in capillary systems under microgravity,1984,Journal Article
Development to demonstration of active magnetic microgravity isolation systems,1994,Conference Proceeding
Equilibrium fluid interface behavior under low- and zero-gravity conditions II,1996,Conference Proceeding
Bubble generation during low-gravity fluid handling procedures,1995,Conference Proceeding
Flexible data acquisition and control system for TPX/G557,1994,Conference Proceeding
Teleoperation in space-modeling effects of displaced feedback and microgravity on tracking performance,1998,Conference Proceeding
Thin film traveling waves and the Navier slip condition,2002,Journal Article
Heat transport in microgravity via magnetothermal convection,1997,Conference Proceeding
Development of an analytical model: Tank pressure control experiment,2000,Conference Proceeding
Recent advances in liquid sloshing dynamics,2001,Journal Article
Modification of wetting property of polycarbonate by means of ion beam implantation and storage in different gas environments,1999,Conference Proceeding
Pool boiling under microgravity,1993,Journal Article
TPX: Two-phase experiment for get away special G-557,1991,Conference Proceeding
Liquid slosh dynamics and control technology program,1991,Conference Proceeding
Nonaxisymmetric equilibrium shapes of a drop on a plane,1983,Journal Article
A concept for a manned artificial gravity research ship,1992,Conference Proceeding
On cylindrical container sections for a capillary free-surface experiment,1996,Journal Article
Equilibrium liquid free-surface configurations: Mathematical theory and space experiments,1996,Conference Proceeding
DYNAMICS OF LIQUID SLOSHING IN UPRIGHT AND INVERTED BLADDERED TANKS.,1985,Conference Proceeding
Dynamics of fluid-filled space multibody systems considering the microgravity effects,2020,Journal Article
Three dimensional critical wetting experiment in commercial zero-gravity space flight,2011,Dissertation/Thesis
Composite equivalent mechanical models for large-amplitude liquid sloshing in axisymmetrical tanks,2020,Journal Article
Study on the instability of FC-72 vapor-liquid interface in a rectangular channel under different gravity conditions,2024,Journal Article
Wettability of Solid-Liquid Interface under Microgravity (Dynamic Behavior of Interface in Space),1989,Awarded Grant
The study on the mechanism of liquid surface in interior corner and the applicability of Surface Evolver,2012,Journal Article
The modeling and simulation on dynamics of the liquid-filled satellite with flexible appendages挠性充液卫星的动力学建模与仿真,2002,Dissertation/Thesis
Contact angle hysteresis generated by the residual gravitational field of the Space Shuttle,2000,Journal Article
Dynamic analysis of large-scale amplitude liquid sloshing in the spacecraft,2019,Journal Article
Three-dimensional numerical simulation of liquid forced sloshing in spherical container of spacecraft,2010,Dissertation/Thesis
EXPERIMENTAL AND NUMERICAL INVESTIGATION OF REDUCED GRAVITY SLOSH DYNAMICS FOR THE CHARACTERIZATION OF CRYOGENIC LAUNCH AND SPACE VEHICLE PROPELLANTS,2012,Conference Proceeding
Lattice Boltzmann simulation of flow in porous media,2004,Dissertation/Thesis
Development of new methodologies for the study of surface tension and contact angle of drops in an electric field,2005,Dissertation/Thesis
Determining Liquid Volume by Using Helmholtz Resonance Measurement Method Based on Electrical Impedance of Loudspeaker,2005,Journal Article
A study of capillary flow in variable interior corners under microgravity,2014,Journal Article
Computational and analytical studies of liquid dynamics in weightlessness,1995,Dissertation/Thesis
Design and Validation of a Device for Mitigating Fluid Microgravity Effects in Biological Research in Canister Spaceflight Hardware,2021,Journal Article
ISS Microgravity Experiments on Flat and Perforated Capillary Plates,2021,Dissertation/Thesis
Modification of the wettability of plexiglas and carbon by means of ion beam implantation: Application to fluid management and materials processing in microgravity.,1996,Conference Proceeding
Influence of Surface Wettability on Drop Dynamics and Condensation,2020,Dissertation/Thesis
MATHEMATICAL MODELING OF DYNAMIC PROCESSES IN FEEDING SYSTEM OF SPACE STAGE MAIN ENGINE OF LAUNCH VEHICLE AT ACTIVE AND PASSIVE FLIGHT,2020,Journal Article
Physical processes that control droplet transport in rock fracture systems,2008,Dissertation/Thesis
Capillary driven flows in microgravity,2024,preprint
The ?Thermocapillary-based control of a free surface in microgravity?experiment,2023,Journal Article
Applications of magnetic fields to control fluids in reduced gravity,2007,Dissertation/Thesis
Capillarity: Draining and Surface Vibrations,2021,Dissertation/Thesis
ISS: Inertial Spreading and Imbibition of a Liquid Drop Through a Porous Surface,2016,Awarded Grant
The Attitude Dynamics and Control of the Liquid-Filled Spacecraft with Complex Structures充液复杂结构航天器姿态动力学与控制,2006,Dissertation/Thesis
Mathematical Modeling of Transport of CO2 and Nano-Particle-Based Sealants in Cement Cracks in CO2-Storage Wells,2023,Dissertation/Thesis
Development of operations manual and restoration of cryogenic system for magnetic levitation,2016,Dissertation/Thesis
Plane front dynamics and pattern formation in diffusion controlled directional solidification of alloys,2004,Dissertation/Thesis
Water Electrolysis Propulsion: Systems Architecture and Technology Development,2019,Dissertation/Thesis
Hydrodynamics of Interfacially Driven Bioreactors,2023,Dissertation/Thesis
"Capillary Phenomena: Investigations in Compressed Bubble Migration, Geometric Wetting, and Blade-Bound Droplet Stability",2012,Dissertation/Thesis
Confinement and Non-Newtonian Effects for Steady Streaming Flow and the Ice Fishing Problem with Surface Tension,2022,Dissertation/Thesis
A Radio-Frequency-Based Propellant Slosh Sensor for Spacecraft Tanks,2021,Conference Proceeding
Observer-based Sliding Mode Attitude Controller Design for Spacecraft with Fuel Slosh,2018,Conference Proceeding
Nonlinear control of space vehicles with multi-mass fuel slosh dynamics,2011,Conference Proceeding
Dynamics and Control of Mass-Variable Liquid-Filled Spacecraft With Combined Nonlinear Slosh,2024,Journal Article
