"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Nonlinear Control of a Space Robot with Slosh Dynamics in Two Dimension","M. Navabi; A. Davoodi","Faculty of New Technologies Engineering, Shahid Beheshti University, GC; Faculty of New Technologies Engineering, Shahid Beheshti University, GC",2018 6th RSI International Conference on Robotics and Mechatronics (IcRoM),"4 Mar 2019","2018","","","141","145","Slosh dynamics could make some harmful changes in attitude parameters of space robots in orbital maneuvering. So, its necessary to control this harmful phenomenon. This paper presents a mathematical modeling and nonlinear control of sloshing and attitude coupled dynamics of a space robot in two dimension. Fuzzy and Lyapunov controllers are utilized for attitude stabilizing of the space robot. Effectiveness of this modeling and controllers are illustrated by the simulation results.","2572-6889","978-1-7281-0127-9","10.1109/ICRoM.2018.8657590","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8657590","fluid dynamics;fuzzy controller;Lyapunov controller;attitude control","Space vehicles;Robots;Aerospace electronics;Mathematical model;Attitude control;Orbits;Satellites","","5","","38","IEEE","4 Mar 2019","","","IEEE","IEEE Conferences"
"Control of propellant slosh dynamics in observation spacecraft using Model Free Control and pressure sensors","C. Zhao; M. Fogel; L. Burlion","Department of Mechanical and Aerospace Engineering, Rutgers University, Piscataway, NJ, USA; Department of Mechanical and Aerospace Engineering, Rutgers University, Piscataway, NJ, USA; Department of Mechanical and Aerospace Engineering, Rutgers University, Piscataway, NJ, USA",2022 IEEE Conference on Control Technology and Applications (CCTA),"8 Dec 2022","2022","","","191","196","The mitigation of fuel propellant sloshing onboard satellites or during space launches is of particular interest. Fuel sloshing can indeed significantly affect spacecraft motion by increasing the maneuver settling time and occasionally destabilizing them. This paper presents a novel, model-free attitude control approach that actively compensates for the sloshing disturbance. One of the main novelties consists of using pressure sensors inside the fuel tank to measure a quantity proportional to the sloshing torque. Then, using this measurement, an attitude controller can be designed not only to reject the sloshing torque but also to keep the fuel sloshing within acceptable conditions. Technically speaking, this is achieved by combining model-free control with an output to input saturation transformation (OIST) add-on.","2768-0770","978-1-6654-7338-5","10.1109/CCTA49430.2022.9965974","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9965974","","Pressure sensors;Space vehicles;Torque;Satellites;Limiting;Propulsion;Pressure measurement","","","","18","IEEE","8 Dec 2022","","","IEEE","IEEE Conferences"
"On System Identification of Space Manipulator Systems Including Their Fuel Sloshing Effects","O. . -O. Christidi-Loumpasefski; G. Rekleitis; E. Papadopoulos; F. Ankersen","School of Mechanical Engineering, National Technical University of Athens, Athens, Greece; School of Mechanical Engineering, National Technical University of Athens, Athens, Greece; School of Mechanical Engineering, National Technical University of Athens, Athens, Greece; European Space Agency, ESA - ESTEC, Noordwijk, The Netherlands",IEEE Robotics and Automation Letters,"16 Mar 2023","2023","8","5","2446","2453","During maneuvers of a space manipulator system (SMS), thruster fuel in its spacecraft (S/C) results in sloshing effects which impact its dynamics and performance. In this work, sloshing effects are modeled by a 3D mass-spring-damper. A novel system identification scheme is developed, which identifies all parameters required for the reconstruction of system dynamics despite the unmeasurable sloshing states. This is achieved by two identification experiments. In Exp. 1, the SMS translates with locked joints allowing for the elimination of the unmeasurable sloshing states. As a result, all sloshing model parameters and the mass of the SMS base are identified. In Exp. 2, the SMS operates in free-floating mode, with the reaction wheels (RWs) and the manipulator(s) active. Based on kinematics and conservation of momentum, a method is developed which eliminates the unmeasurable sloshing states and identifies all the required SMS inertial parameters. The estimated parameters render the system dynamics fully identified and available to advanced model-based control algorithms. The effect of sloshing parameter errors is also discussed. The developed scheme is validated by simulation and experiments.","2377-3766","","10.1109/LRA.2023.3252341","European Space Agency; On-Board System Identification for Uncertainty Modelling & Characterization(grant numbers:4000126266/18/NL/GLC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10058173","System identification;orbital robotics","Manipulators;Fuels;System identification;Space vehicles;Three-dimensional displays;Solid modeling;Computational modeling","","3","","31","IEEE","3 Mar 2023","","","IEEE","IEEE Journals"
"Sloshing disturbance rejection control design for liquid-filled spacecrafts","X. -K. Liang; H. -N. Wu; H. -D. Wang; L. Guo","Science and Technology on Aircraft Control Laboratory, Beihang University, Beijing, CN; Science and Technology on Aircraft Control Laboratory, Beihang University, Beijing, CN; Education Department, Key Laboratory of Marine Mechanical and Electrical Equipments and Instruments, Ocean University of China, Qingdao, Shandong, CN; Science and Technology on Aircraft Control Laboratory, Beihang University, Beijing, CN",2016 35th Chinese Control Conference (CCC),"29 Aug 2016","2016","","","1323","1328","This paper studies the sloshing disturbance rejection control (SDRC) problem for liquid-filled spacecrafts, in which the motion of the spacecraft is described by ordinary differential equations (ODEs) and the fluid dynamics is described by the Burgers' equation with the acceleration due to the inertial force of liquid. The sloshing force is that the fluid, via pressure and viscous effects, exerts on the spacecraft, containing the sloshing disturbance and the inertial force of liquid. The modal decomposition technique is initially applied to the Burgers' equation to derive an infinite dimensional ODE system of coupled slow and fast dynamics, and thus, the sloshing disturbance is divided into two parts: slow and fast. Based on the slow subsystem of the Burgers' equation, an observer is constructed to estimate the slow sloshing disturbance, which is called the slow sloshing disturbance observer (SSDO). Then, a low dimensional SSDO-based H∞ SDRC design is developed in terms of linear matrix inequalities (LMIs), where the slow sloshing disturbance is compensated by the SSDO, and the fast one is attenuated by H∞ control. The resulting controller can ensure that the ODE system of the spacecraft is exponentially stable in the presence of the slow sloshing disturbance and satisfies a prescribed attenuation level in the presence of the fast sloshing disturbance. Finally, the proposed method is applied to the control of a unilateral movement liquid-filled spacecraft to illustrate its effectiveness.","1934-1768","978-9-8815-6391-0","10.1109/ChiCC.2016.7553272","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7553272","Disturbance rejection;Burgers' equation;modal reduction;Disturbance observer;H∞ control;linear matrix inequalities (LMIs)","Space vehicles;Liquids;Force;Dynamics;Mathematical model;Observers;Hafnium","","","","14","","29 Aug 2016","","","IEEE","IEEE Conferences"
"Extended state observer based control of attitude stabilization for flexible spacecraft with solar pressure and slosh disturbances","J. E. Benmansour; M. A. S. Mohammed; A. Bellar","Département de Recherche en Mécaniquc Spatiale Centre de Développement des Satellites (CDS), Oran, Algeria; Département de Recherche en Mécanique Spatiale Centre de Développement des Satellites (CDS) Oran, Algeria; Département de Recherche en Mécaniquc Spatiale Centre de Développement des Satellites (CDS), Oran, Algeria",2017 5th International Conference on Electrical Engineering - Boumerdes (ICEE-B),"14 Dec 2017","2017","","","1","6","The satellite in geostationary orbit present many flexibility due to flexible appendages, solar pressure and fuel sloshing in the tanks which they pose great challenges for accurate attitude control. In this paper, an anti-disturbance proportional-derivative (PD) controller is designed to stabilize the attitude while rejecting the effects of flexible vibrations, environmental disturbances, and unmodeled dynamics, whose are assumed as an extended state. This controller comprises two parts, i.e. an extended state observer and a PD controller with feedforward. First, flexible vibrations, with fuel sloshing and environmental disturbances, and unmodeled dynamics are regarded as an extended state which can be estimated by the extended state observer. Then, the estimated extended state can be compensated by feedforward and the attitude can be stabilized by the PD controller. Numerical simulation results are presented to demonstrate the effectiveness of the control scheme.","","978-1-5386-0686-5","10.1109/ICEE-B.2017.8192025","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8192025","Flexible spacecraft;Attitude stabilization;Extented stat observer;Proportional Derivative","Observers;Attitude control;Space vehicles;PD control;Fuels;Vibrations;Eigenvalues and eigenfunctions","","6","","17","IEEE","14 Dec 2017","","","IEEE","IEEE Conferences"
"Disturbance Separation-Based Antidisturbance Attitude Control for Flexible Liquid-Filled Spacecrafts","B. Zhu; H. Teng; Y. Meng; Y. Zhu","School of Automation, Southeast University, Nanjing, China; School of Automation Science and Electrical Engineering, Beihang University, Beijing, China; School of Automation Science and Electrical Engineering, Beihang University, Beijing, China; School of Astronautics, Beihang University, Beijing, China",2024 3rd Conference on Fully Actuated System Theory and Applications (FASTA),"23 Jul 2024","2024","","","1480","1485","Tightly coupled disturbances such as flexible vibration and liquid sloshing reduce the attitude control accuracy and stability of spacecrafts. The separation and thereby compensation of tightly coupled disturbances are crucial for improving attitude control performance. This paper investigates disturbance separation-based antidisturbance attitude control for flexible liquid-filled spacecrafts. First, based on the rigid-flexible-liquid interaction mechanism of spacecrafts, the flexible vibration disturbance and liquid sloshing disturbance are finely characterized, and a tightly coupled attitude dynamics model of a flexible liquid-filled spacecraft is established. Then, a disturbance separability criterion is established and two disturbance separability observers are designed to estimate the flexible vibration disturbance and the liquid shaking disturbance, respectively. Furthermore, a tightly coupled antidisturbance attitude control law is designed to accurately compensate for the flexible vibration disturbance and the liquid sloshing disturbance, thereby improving the attitude control accuracy and stability of spacecrafts. Finally, a numerical simulation is given to verify the validity of the proposed methodology.","","979-8-3503-7369-1","10.1109/FASTA61401.2024.10595312","Fundamental Research Funds for the Central Universities; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10595312","Flexible liquid-filled spacecrafts;disturbance separation;tightly coupled disturbances;disturbance observer-based control (DOBC)","Space vehicles;Vibrations;Liquids;Accuracy;Attitude control;Stability criteria;Observers","","","","18","IEEE","23 Jul 2024","","","IEEE","IEEE Conferences"
"Dynamic modeling and tracking control of fuel filled space robotic system with flexible manipulators","Xinxin Yang; Xiong Luo; F. Sun; Fengge Wu; Huaping Liu","School of Information Engineering, Key Laboratory of Advanced Control of Iron and Steel Process (Ministry of Education), University of Science and Technology Beijing, Beijing, China; School of Information Engineering, Key Laboratory of Advanced Control of Iron and Steel Process (Ministry of Education), University of Science and Technology Beijing, Beijing, China; State Key Laboratory of Intelligent Technology and System, Department of Computer Science and Technology,Tsinghua National Laboratory for Information Science and Technology, Tsinghua University, Beijing, China; State Key Laboratory of Intelligent Technology and System, Department of Computer Science and Technology,Tsinghua National Laboratory for Information Science and Technology, Tsinghua University, Beijing, China; State Key Laboratory of Intelligent Technology and System, Department of Computer Science and Technology,Tsinghua National Laboratory for Information Science and Technology, Tsinghua University, Beijing, China",2010 3rd International Symposium on Systems and Control in Aeronautics and Astronautics,"11 Nov 2010","2010","","","1192","1197","In recent years, dynamics model and control of space robot system are the hot topics in the research field. In this paper, a new dynamics model and control strategy of space robotic system with a flexible manipulator and a liquid fuel tank are investigated. Based on Lagrange equation method, the dynamics model of the space robotic system coupling with liquid sloshing, flexibility vibration and base movement is derived. The elastic deflection of the flexible manipulator is described by the assumed mode method and equivalent mechanical model is adopted instead of liquid sloshing under the environment of low-gravity. The inverse dynamics control algorithm combined with PD control method is performed to solve the trajectory tracking problem. Some simulation results are given to verify the effectiveness of the proposed method.","","978-1-4244-6045-8","10.1109/ISSCAA.2010.5633387","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=5633387","space robotic system;dynamic modeling and tracking control;flexible manipulator;fuel-filled;equivalent mechanical model","Mathematical model;Aerospace electronics;Manipulator dynamics;Equations;Space vehicles","","1","","11","IEEE","11 Nov 2010","","","IEEE","IEEE Conferences"
"The Rutgers SPICEsat Mission: An Educational Case Study","M. Fogel; S. Terracina; L. Burlion","Department of Mechanical and Aerospace Engineering, Rutgers University, Piscataway, NJ; Department of Mechanical and Aerospace Engineering, Rutgers University, Piscataway, NJ; Department of Mechanical and Aerospace Engineering, Rutgers University, Piscataway, NJ",2024 IEEE Aerospace Conference,"13 May 2024","2024","","","1","11","Rutgers University’s first CubeSat mission is called SPICEsat (Sloshing Platform for In-Orbit Controller Experimentation). Many modern spacecraft and launch vehicles rely on large propellant tanks for attitude control and station-keeping maneuvers. When a sizable percentage of the space-craft’s mass comprises a liquid propellant, sloshing becomes a critical aspect of spacecraft control. SPICEsat aims to examine the zero-g propellant sloshing problem from an experimental standpoint. The primary mission will study tank fluid dynamics using new methods to understand low-gravity fluid disturbance effects better and improve equivalent mechanical models (EMMs). Active control of the fluid leading to the reduction of propellant slosh settling times will improve the performance of future spacecraft. SPICEsat’s secondary mission is to provide student education and outreach opportunities throughout the project lifecycle and release the data to the educational community for further research. In this paper, we will present SPICEsat project goals, educational benefits of the program, lessons learned, and areas of instructional improvement for undergraduate education.","1095-323X","979-8-3503-0462-6","10.1109/AERO58975.2024.10521309","United States Air Force; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10521309","","Space vehicles;Schedules;Software architecture;Space technology;Education;Buildings;Stars","","","","12","IEEE","13 May 2024","","","IEEE","IEEE Conferences"
"Parameter identification of free-floating robots with flexible appendages and fuel sloshing","W. Rackl; R. Lampariello","the German Aerospace Center (DLR), Institute of Robotics and Mechatronics, Wessling, Germany; the German Aerospace Center (DLR), Institute of Robotics and Mechatronics, Wessling, Germany","Proceedings of 2014 International Conference on Modelling, Identification & Control","26 Jan 2015","2014","","","129","134","In this paper we adressed the effects of flexibilities and liquid fuel sloshing on the on-orbit robotics-based dynamic parameter identification. For modelling the liquid fuel sloshing we combined the general free-floating robot dynamics with a mechanical pendulum equivalent model. For the dynamic parameter identification we extended our identification algorithm for rigid body systems to account for these two effects. The flexible and sloshing modes are excited only with the manipulator executing optimized trajectories. For the identification algorithm we make use of the robotic joint position and torque sensor data as well as of on board GNC sensor data. Numerical simulations showed that the two effects can have significant influence to the free-floating dynamics. Furthermore, we showed that the extended parameter identification algorithm improves the accuracy of the dynamic model.","","978-0-9567157-4-6","10.1109/ICMIC.2014.7020740","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=7020740","","Joints;Fuels;Manipulators;Satellites;Mathematical model;Robot sensing systems","","6","","14","","26 Jan 2015","","","IEEE","IEEE Conferences"
" $\mathcal{H}_{\infty}$  and  $\mu$ -Synthesis for Nanosatellites Rendezvous and Docking","C. Pirat; F. Ankersen; R. Walker; V. Gass","Swiss Space Center, Swiss Federal Institute of Technology in Lausanne, Lausanne, Switzerland; European Space Research and Technology Centre, European Space Agency, Noordwijk, The Netherlands; European Space Research and Technology Centre, European Space Agency, Noordwijk, The Netherlands; Swiss Space Center, Swiss Federal Institute of Technology in Lausanne, Lausanne, Switzerland",IEEE Transactions on Control Systems Technology,"13 Apr 2020","2020","28","3","1050","1057","In this brief, the nanosatellite rendezvous and docking problem is tackled. It was never attempted for small spacecraft, as critical technologies, such as six-degree-of-freedom (DoF) micropropulsion systems, have only recently become available due to advances in MEMS. The typical level of noise in nanosatellites' sensors and actuators combined with the dynamics uncertainties, low actuation capabilities, and reliability requirements makes the use of robust control appropriate. The system is described by a linearized rotation/translation, six DoFs, and coupled dynamics, including fuel sloshing. An ℌ∞ controller is first designed, in which robust stability and performance are assessed using structured singular values. The controller robustness is then improved using μ-synthesis. Nonlinear Monte Carlo simulations for both controllers, including realistic sensors and actuators models, are provided allowing a thorough assessment of the complete guidance, navigation and control (GNC). The sought GNC schemes are shown to be robust to the modeled uncertainties and to satisfy the docking requirements.","1558-0865","","10.1109/TCST.2019.2892923","European Space Agency(grant numbers:4000112462/14/NL/GLC); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8635563","Cubesats;docking; ${\mathcal {H}_\infty }$  ;μ-analysis;μ-synthesis;rendezvous;robust control;satellites","CubeSat;Aerospace electronics;Europe;Uncertainty;Actuators","","12","","22","OAPA","5 Feb 2019","","","IEEE","IEEE Journals"
"Development of air spindle and triaxial air bearing testbeds for spacecraft dynamics and control experiments","D. S. Bernstein; N. H. McClamroch; A. Bloch","Department of AeroSpace Engineering, University of Michigan, Ann Arbor, MI, USA; Department of AeroSpace Engineering, University of Michigan, Ann Arbor, MI, USA; Department of AeroSpace Engineering, University of Michigan, Ann Arbor, MI, USA",Proceedings of the 2001 American Control Conference. (Cat. No.01CH37148),"7 Aug 2002","2001","5","","3967","3972 vol.5","The dynamics and control of spacecraft have been widely studied because of their technological significance. In the classical case the spacecraft is assumed to consist of a single rigid body with three-axis torque inputs and with attitude and rate sensing. In practice, however, the situation may be far more complex. For example, any component of the spacecraft that deforms relative to other components will entail a change in the spacecraft mass distribution; in effect, the spacecraft becomes a multibody system. Similarly, structural flexibility and fuel slosh give rise to vibrational degrees of freedom. Spacecraft control is also exacerbated by sensor and actuator nonlinearities. Traditional actuation devices such as thrusters, reaction wheels, momentum wheels, and control moment gyros entail amplitude and rate saturation constraints, gyroscopic coupling, and coupling between translational and attitude dynamics. Additional difficulties arise when accounting for gravitational effects and external disturbances. All of these issues have technological implications. A fundamental difficulty associated with spacecraft technology is the fact that ground-based testing must occur in a 1-g environment whereas the hardware will operate under zero-g conditions. Consequently, spacecraft control engineering must depend on first-principles analysis as well as extrapolation from 1-g testing. The purpose of this paper is to describe a laboratory-based testbed that will be used to explore various issues and concepts in spacecraft dynamics and control. This testbed is based on a triaxial air bearing to allow experiments involving large-angle, three-axis motion. As a precursor to this testbed, we have also developed an air spindle testbed which allows single-axis rotation.","0743-1619","0-7803-6495-3","10.1109/ACC.2001.946287","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=946287","","Testing;Space vehicles;Space technology;Wheels;Torque;Fuels;Control nonlinearities;Actuators;Attitude control;Hardware","","29","","15","","7 Aug 2002","","","IEEE","IEEE Conferences"
